2026-07-18 04:16:11,379 P4081843 INFO ---- Model: ----MSTGAD-4f9e8a2f----random_seed : 1----req_loss_approach : Normal-Recreation----rec_lambda : 1.0----auxi_lambda : 0.2----Freq Domain : encoder_decoder----Multi Fits : false----train : True----evaluate : False
2026-07-18 04:16:11,379 P4081843 INFO Load from /home/db2003/Desktop/Amr/Tests/Eadro/codes/chunks/TT
2026-07-18 04:16:31,164 P4081843 INFO Fewshot: training with 1.0 of the 70% of the data
2026-07-18 04:16:49,829 P4081843 INFO Trainable Parameters Breakdown:
2026-07-18 04:16:49,830 P4081843 INFO --------------------------------------------------------------------------------
2026-07-18 04:16:49,830 P4081843 INFO Reconstruction-Specific Parameters:
2026-07-18 04:16:49,830 P4081843 INFO node_emb.linear.weight                   | shape: (8, 7)                    | params: 56
2026-07-18 04:16:49,830 P4081843 INFO node_emb.linear.bias                     | shape: (8,)                      | params: 8
2026-07-18 04:16:49,830 P4081843 INFO log_emb.linear.weight                    | shape: (32, 60)                  | params: 1,920
2026-07-18 04:16:49,830 P4081843 INFO log_emb.linear.bias                      | shape: (32,)                     | params: 32
2026-07-18 04:16:49,830 P4081843 INFO egde_emb.linear.weight                   | shape: (8, 2)                    | params: 16
2026-07-18 04:16:49,830 P4081843 INFO egde_emb.linear.bias                     | shape: (8,)                      | params: 8
2026-07-18 04:16:49,830 P4081843 INFO dense_node.weight                        | shape: (7, 8)                    | params: 56
2026-07-18 04:16:49,830 P4081843 INFO dense_node.bias                          | shape: (7,)                      | params: 7
2026-07-18 04:16:49,830 P4081843 INFO dense_log.weight                         | shape: (60, 32)                  | params: 1,920
2026-07-18 04:16:49,830 P4081843 INFO dense_log.bias                           | shape: (60,)                     | params: 60
2026-07-18 04:16:49,830 P4081843 INFO dense_edge.weight                        | shape: (2, 8)                    | params: 16
2026-07-18 04:16:49,830 P4081843 INFO dense_edge.bias                          | shape: (2,)                      | params: 2
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.att | shape: (1, 4, 10)                | params: 40
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.bias | shape: (40,)                     | params: 40
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.lin_l.weight | shape: (40, 40)                  | params: 1,600
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.lin_l.bias | shape: (40,)                     | params: 40
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.lin_r.weight | shape: (40, 40)                  | params: 1,600
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.lin_r.bias | shape: (40,)                     | params: 40
2026-07-18 04:16:49,830 P4081843 INFO encoder.spatial_attention.0.node2node.lin_edge.weight | shape: (40, 8)                   | params: 320
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.att | shape: (1, 2, 4)                 | params: 8
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.bias | shape: (8,)                      | params: 8
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.lin_l.weight | shape: (8, 8)                    | params: 64
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.lin_l.bias | shape: (8,)                      | params: 8
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.lin_r.weight | shape: (8, 8)                    | params: 64
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.lin_r.bias | shape: (8,)                      | params: 8
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.0.egde2node.lin_edge.weight | shape: (8, 40)                   | params: 320
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.1.node2node.att | shape: (1, 4, 10)                | params: 40
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.1.node2node.bias | shape: (40,)                     | params: 40
2026-07-18 04:16:49,831 P4081843 INFO encoder.spatial_attention.1.node2node.lin_l.weight | shape: (40, 40)                  | params: 1,600
