model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,296829f2,SN,FreTS,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9845  rc:0.9600  auc:0.9958 ap:0.9935 f1: 0.9721 pred_right: 17907 pred_wrong:1293 actu_right: 17874 actu_wrong: 1326,6128,3038,3090,1.9523856687545775,0.1352227630887227,107.69189453125,0.5806947278608117,1837.69921875,7395.204602821771,1722.0752178753942,0.008357916152369317,0.03774515731095276,0.006128,92.2368,11.149883270263672,107.41455078125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,430dde01,SN,DLinear,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9612  rc:0.9517  auc:0.9927 ap:0.9882 f1: 0.9564 pred_right: 17887 pred_wrong:1313 actu_right: 17874 actu_wrong: 1326,4778,1688,3090,1.729191022760728,0.25002515025600675,42.0888671875,1.3584591983969694,1763.3125,3999.597636382084,736.1281083598506,0.01254113652426617,0.08829984789580302,0.004778,43.2768,20.414161682128906,41.8115234375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,fe122819,SN,iTransformer,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9170  rc:0.9253  auc:0.9889 ap:0.9754 f1: 0.9212 pred_right: 17862 pred_wrong:1338 actu_right: 17874 actu_wrong: 1326,206680,203590,3090,3.9522563329962797,0.41849438491068774,141.865234375,3.7411903952532275,2064.23828125,2389.518321048473,267.2946026133251,0.049399704936434946,0.24317737569145978,0.20668,9993.1008,23.305153846740723,141.587890625,1.0,RQ2_architecture,1,True,5,10
MSTGAD,48e3384e,SN,FEDformerModel,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.8112  rc:0.8002  auc:0.9782 ap:0.9365 f1: 0.8056 pred_right: 17892 pred_wrong:1308 actu_right: 17874 actu_wrong: 1326,21858,18768,3090,6.004906075795492,0.39907098907271243,67.033203125,1.0240709788729871,1987.234375,2505.819835021372,976.494813963503,0.023111797261157068,0.06656461362674417,0.021858,320.5248,38.95289897918701,66.755859375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,5f93a5a8,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9787  rc:0.9698  auc:0.9961 ap:0.9937 f1: 0.9742 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.775015215216012,0.1445178588939719,41.859375,0.2911310428249928,1731.203125,6919.560029834568,3434.8793254628245,0.007386669062718137,0.01892351778362453,0.004613,40.8768,9.189772605895996,41.58203125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,600fdaeb,TT,FreTS,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9495  rc:0.9695  auc:0.9996 ap:0.9958 f1: 0.9594 pred_right: 454681 pred_wrong:15119 actu_right: 454992 actu_wrong: 14808,16357,3038,13319,26.133684577941896,0.2579378498134328,217.1435546875,1.4725355001596303,6031.828125,3876.902907903213,679.1007754255126,0.022467676407999067,0.09571480751037598,0.016357,370.7756,14.973783493041992,209.87841796875,1.0,RQ2_architecture,1,True,5,10
MSTGAD,2432b543,TT,DLinear,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9411  rc:0.9633  auc:0.9995 ap:0.9947 f1: 0.9521 pred_right: 454644 pred_wrong:15156 actu_right: 454992 actu_wrong: 14808,15007,1688,13319,21.948094425201415,0.23912632413353904,138.791015625,0.7037225464865754,6315.74609375,4181.890068454171,1421.01458165953,0.014007422251932383,0.0457419655216274,0.015007,270.8156,10.680866241455078,131.52587890625,1.0,RQ2_architecture,1,True,5,10
MSTGAD,5044b952,TT,iTransformer,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9461  rc:0.9448  auc:0.9992 ap:0.9939 f1: 0.9454 pred_right: 455013 pred_wrong:14787 actu_right: 454992 actu_wrong: 14808,216909,203590,13319,66.91279462814332,0.47770348602540186,283.078125,5.392923735586838,6168.9609375,2093.3487597509916,185.42817384959432,0.07782673538802942,0.3505400428131445,0.216909,20584.9596,33.69309902191162,275.81298828125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,7846fb54,TT,FEDformerModel,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.6854  rc:0.6746  auc:0.9875 ap:0.8976 f1: 0.6800 pred_right: 455224 pred_wrong:14576 actu_right: 454992 actu_wrong: 14808,32087,18768,13319,65.69739234447479,0.5966241321935993,139.81591796875,2.685705816157239,5762.9921875,1676.0971372768888,372.34159973292225,0.038916897206790195,0.17457087805022053,0.032087,836.8636,40.184569358825684,132.55078125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,b6dcf51d,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9422  rc:0.9760  auc:0.9996 ap:0.9952 f1: 0.9588 pred_right: 454462 pred_wrong:15338 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.337382612228392,0.225041638449878,138.791015625,0.76560360966539,5776.51953125,4443.622108726884,1306.1589409656178,0.013190928158558825,0.04976423462825035,0.014842,265.9156,10.724234580993652,131.52587890625,1.0,RQ2_architecture,1,True,5,10
MSTGAD,a335c3ee,MSDS,FreTS,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9538  rc:0.9612  auc:0.9922 ap:0.9831 f1: 0.9575 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,45530,2534,42996,7.664878325462341,0.3260127020252727,42.0185546875,0.5397508048897223,2946.91796875,3067.365148007268,1852.7068249658512,0.016755748833290916,0.035083802317831946,0.04553,63.1375,10.911393165588379,41.765625,1.0,RQ2_architecture,1,True,5,10
MSTGAD,8c2ae83d,MSDS,DLinear,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9328  rc:0.9690  auc:0.9940 ap:0.9810 f1: 0.9506 pred_right: 16366 pred_wrong:134 actu_right: 16371 actu_wrong: 129,44180,1184,42996,6.847469778855642,0.25853888402780373,40.38720703125,0.34422825997415873,2955.77734375,3867.8901386936373,2905.049109201755,0.012852226463906151,0.02237483689832032,0.04418,51.4075,10.32419204711914,40.13427734375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,5d947944,MSDS,iTransformer,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8931  rc:0.9070  auc:0.9818 ap:0.9438 f1: 0.9000 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,246082,203086,42996,11.080015877882639,0.4099516198796137,52.04638671875,1.3480058916300552,3151.66015625,2439.3122298032627,741.83652030687,0.027075664686568964,0.08762038295595359,0.246082,2435.2195,15.34576416015625,51.79345703125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,c830a5b4,MSDS,FEDformerModel,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9160  rc:0.8450  auc:0.9900 ap:0.9410 f1: 0.8790 pred_right: 16381 pred_wrong:119 actu_right: 16371 actu_wrong: 129,61260,18264,42996,22.887904167175293,0.888062617911312,42.30078125,1.519602141690981,3175.96484375,1126.0467221916854,658.0669851433753,0.04432098510340881,0.09877413920991376,0.06126,117.8315,37.66584396362305,42.0478515625,1.0,RQ2_architecture,1,True,5,10
MSTGAD,aa01fdcb,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9692  rc:0.9767  auc:0.9902 ap:0.9826 f1: 0.9730 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.8659877697626746,0.47628333621301555,40.38720703125,0.7661401477318928,2934.8828125,2099.590567142485,1305.2442206043293,0.02294590228873445,0.04979910960257303,0.044015,50.8325,11.335921287536621,40.13427734375,1.0,RQ2_architecture,1,True,5,10
