model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,98a9ed2a,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9787  rc:0.9698  auc:0.9961 ap:0.9937 f1: 0.9742 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7458611019726458,0.3638558073264817,41.859375,0.7495766796671912,1735.1171875,2748.341457974084,1334.0863278243871,0.01820661688700249,0.04872248417836743,0.004613,40.8768,20.76897621154785,41.58203125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,6f4be78e,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,no_attn,pr:0.9571  rc:0.9427  auc:0.9926 ap:0.9853 f1: 0.9498 pred_right: 17894 pred_wrong:1306 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6277839692433675,0.1352105868833092,42.58837890625,0.2705464388597458,1745.70703125,7395.870567909228,3696.223111324747,0.006823334661772758,0.017585518525883477,0.004613,39.2928,8.740830421447754,42.31103515625,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,e8a7e84e,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9642  rc:0.9148  auc:0.9924 ap:0.9871 f1: 0.9389 pred_right: 17942 pred_wrong:1258 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7835955667495726,0.1442318948619931,41.859375,0.2338401774034143,1733.96484375,6933.279223411995,4276.425082738579,0.007339239970052519,0.015199611531221931,0.004613,40.8768,9.428858757019043,41.58203125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,035f4932,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,nofilter,linear_attn,pr:0.9787  rc:0.9698  auc:0.9961 ap:0.9937 f1: 0.9742 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7860344722353179,0.14747850822679925,41.859375,0.26656061286948934,1740.8984375,6780.649004546167,3751.4919748838124,0.007558642242894028,0.01732643983651681,0.004613,40.8768,9.718680381774902,41.58203125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,ea798497,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9653  rc:0.9638  auc:0.9958 ap:0.9923 f1: 0.9645 pred_right: 17876 pred_wrong:1324 actu_right: 17874 actu_wrong: 1326,4588,1498,3090,1.7289437500635783,0.12529184814017938,41.8583984375,0.23426063274671405,1728.4453125,7981.365227218752,4268.749675414795,0.006372406042333593,0.015226941128536413,0.004588,39.6768,9.097433090209961,41.5810546875,1.0,RQ2_ablations_components,1,False,5,10
MSTGAD,6f88179d,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9422  rc:0.9760  auc:0.9996 ap:0.9952 f1: 0.9588 pred_right: 454462 pred_wrong:15338 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.202898092269898,0.251162344826349,138.791015625,0.7469113330206012,5583.421875,3981.488549533129,1338.8470033730473,0.01469902506861725,0.048549236646339075,0.014842,265.9156,10.659384727478027,131.52587890625,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,20679e80,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,no_attn,pr:0.9113  rc:0.8624  auc:0.9977 ap:0.9780 f1: 0.8862 pred_right: 455786 pred_wrong:14014 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.818236112594604,0.21802506211430828,138.78759765625,0.6961624740048746,5671.03515625,4586.628666917707,1436.4462856597436,0.012530990445019867,0.04525056081031686,0.014842,262.3516,9.835457801818848,131.5224609375,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,6eadf84b,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9455  rc:0.8235  auc:0.9974 ap:0.9749 f1: 0.8803 pred_right: 456902 pred_wrong:12898 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.228852019309997,0.3403473355876866,138.791015625,1.0509551734792926,5716.7265625,2938.1749038031226,951.5153692896336,0.018746841765173158,0.06831208627615402,0.014842,265.9156,10.654687881469727,131.52587890625,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,b792eaff,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,nofilter,linear_attn,pr:0.9422  rc:0.9760  auc:0.9996 ap:0.9952 f1: 0.9588 pred_right: 454462 pred_wrong:15338 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.236677346229552,0.2268711935365241,138.791015625,0.7618744939942037,5733.05859375,4407.787451600855,1312.5521432767744,0.013112020630443411,0.04952184210962324,0.014842,265.9156,10.339784622192383,131.52587890625,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,4870fdf1,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9326  rc:0.9810  auc:0.9996 ap:0.9947 f1: 0.9562 pred_right: 454223 pred_wrong:15577 actu_right: 454992 actu_wrong: 14808,14817,1498,13319,21.062523097991942,0.2171767925696039,138.7900390625,0.9038324197315869,5684.55078125,4604.543552596698,1106.3997906790864,0.012658583708504503,0.05874910728255315,0.014817,263.4656,8.03844928741455,131.52490234375,1.0,RQ2_ablations_components,1,False,5,10
MSTGAD,9f2dc9a4,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9692  rc:0.9767  auc:0.9902 ap:0.9826 f1: 0.9730 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.859810146490733,0.25862427122637105,40.38720703125,0.42204506298915684,2959.12109375,3866.6131189392927,2369.415230017018,0.012675951405618124,0.027432929094295195,0.044015,50.8325,9.874439239501953,40.13427734375,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,e05d0125,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,no_attn,pr:0.9265  rc:0.9767  auc:0.9867 ap:0.9681 f1: 0.9509 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.254779498577118,0.24408597427432008,40.5361328125,0.40225681970736543,2965.52734375,4096.917092319829,2485.9740121434907,0.011925308445120457,0.026146693280978753,0.044015,50.5025,8.789539337158203,40.283203125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,9f2dc9a4,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9692  rc:0.9767  auc:0.9902 ap:0.9826 f1: 0.9730 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.784961380958557,0.2928842018980219,40.38720703125,0.40359042464653605,2947.19921875,3414.3186744779964,2477.7594782527326,0.01432657717794269,0.026233377602024842,0.044015,50.8325,9.136056900024414,40.13427734375,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,3d0197d7,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,nofilter,linear_attn,pr:0.9692  rc:0.9767  auc:0.9902 ap:0.9826 f1: 0.9730 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.849819985230764,0.26925752209961523,40.38720703125,0.3980847083375045,2931.0,3713.916670562085,2512.0281665081675,0.013175712957661519,0.025875506041937793,0.044015,50.8325,9.625411033630371,40.13427734375,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,44b479ab,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9023  rc:0.9302  auc:0.9808 ap:0.9513 f1: 0.9160 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,43990,994,42996,6.848626147111257,0.2648098906285023,40.38623046875,0.36663803880398527,2961.14453125,3776.2939957665117,2727.48567841491,0.013344564818442118,0.023831472522259044,0.04399,50.545,10.883879661560059,40.13330078125,1.0,RQ2_ablations_components,1,False,5,10
