model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,a335c3ee,MSDS,FreTS,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9690  rc:0.9690  auc:0.9959 ap:0.9826 f1: 0.9690 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,45530,11096,34434,7.921690555413564,0.2813107980202574,36.50634765625,0.4114942926884553,2952.91015625,3554.7871145990966,2430.1673626299985,0.01410056309536639,0.026747129024749593,0.04553,56.926,10.433053970336914,36.25341796875,1.0,RQ2_architecture,1,True,5,10
MSTGAD,8c2ae83d,MSDS,DLinear,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9621  rc:0.9845  auc:1.0000 ap:0.9947 f1: 0.9732 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,44180,9746,34434,6.882390770117442,0.2593064202709392,36.49267578125,0.3475835775089207,2893.82421875,3856.4413443953254,2877.005890689226,0.012860042606916958,0.022592932538079844,0.04418,49.276,9.20567512512207,36.23974609375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,5d947944,MSDS,iTransformer,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9206  rc:0.8992  auc:0.9938 ap:0.9750 f1: 0.9098 pred_right: 16374 pred_wrong:126 actu_right: 16371 actu_wrong: 129,246082,211648,34434,11.570399771369464,0.6593286818682755,38.03173828125,0.8412652292154681,3083.0390625,1516.6942186807303,1188.685761959474,0.036039565079601814,0.05468223989900542,0.246082,1603.936,12.345743179321289,37.77880859375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,c830a5b4,MSDS,FEDformerModel,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8850  rc:0.7752  auc:0.9784 ap:0.8962 f1: 0.8264 pred_right: 16387 pred_wrong:113 actu_right: 16371 actu_wrong: 129,61260,26826,34434,24.113374651179594,0.9380889728407054,37.517578125,1.43949107644947,3111.2265625,1065.996967187256,694.6899611677466,0.04583502721299686,0.09356691996921555,0.06126,92.596,35.28752326965332,37.2646484375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,aa01fdcb,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9549  rc:0.9845  auc:0.9962 ap:0.9786 f1: 0.9695 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44015,9581,34434,7.017629910310109,0.30917823549807605,36.4921875,0.34729478178235207,2941.34765625,3234.3803191354414,2879.3982877251956,0.01509176262024984,0.022574160815852885,0.044015,48.901,10.703301429748535,36.2392578125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,296829f2,SN,FreTS,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9747  rc:0.9570  auc:0.9945 ap:0.9923 f1: 0.9658 pred_right: 17898 pred_wrong:1302 actu_right: 17874 actu_wrong: 1326,6128,3694,2434,2.0455725677808125,0.16676719515931374,60.9560546875,0.4400223830025322,1723.08203125,5996.383155840054,2272.6116639258444,0.009375318177466301,0.028601454895164594,0.006128,72.3648,11.905789375305176,60.6787109375,1.0,RQ2_architecture,1,True,5,10
MSTGAD,430dde01,SN,DLinear,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9822  rc:0.9585  auc:0.9947 ap:0.9928 f1: 0.9702 pred_right: 17906 pred_wrong:1294 actu_right: 17874 actu_wrong: 1326,4778,2344,2434,1.6492738509178162,0.10985639983532476,29.2900390625,0.144337304489852,1672.3828125,9102.792386233343,6928.215845061091,0.005444757816838283,0.00938192479184038,0.004778,35.6448,8.58614444732666,29.0126953125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,fe122819,SN,iTransformer,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9131  rc:0.8959  auc:0.9871 ap:0.9741 f1: 0.9045 pred_right: 17899 pred_wrong:1301 actu_right: 17874 actu_wrong: 1326,206680,204246,2434,3.893105571760851,0.2174536647785298,79.291015625,1.4973308667496281,1890.0390625,4598.680831700265,667.8550627696451,0.029376794116423098,0.09732650633872582,0.20668,7498.0128,19.82429027557373,79.013671875,1.0,RQ2_architecture,1,True,5,10
MSTGAD,48e3384e,SN,FEDformerModel,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.8308  rc:0.7557  auc:0.9803 ap:0.9362 f1: 0.7915 pred_right: 17994 pred_wrong:1206 actu_right: 17874 actu_wrong: 1326,21858,19424,2434,6.0510483384132385,0.4186304175138332,40.57080078125,0.8652473728499523,1923.109375,2388.741854781625,1155.738845766384,0.02243859037874146,0.0562410792352469,0.021858,243.5808,37.83605098724365,40.29345703125,1.0,RQ2_architecture,1,True,5,10
MSTGAD,5f93a5a8,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9727  rc:0.9668  auc:0.9952 ap:0.9934 f1: 0.9697 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.6505450169245401,0.10318548935761568,29.28955078125,0.1527808354287649,1665.51953125,9691.285143148805,6545.323549210835,0.00508848922218146,0.009930754302869719,0.004613,33.8448,7.99713134765625,29.01220703125,1.0,RQ2_architecture,1,True,5,10
