model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,c3102399,MSDS,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9338  rc:0.9845  auc:0.9978 ap:0.9810 f1: 0.9585 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.1413422282536825,0.238860080716714,35.603515625,0.2960565199911844,2896.97265625,4186.551377691241,3377.7334139770905,0.01168049680712803,0.019243673799426986,0.044015,48.901,6.850600242614746,35.3505859375,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,bea4b2e0,MSDS,FITS_Legendre,hermite,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9147  rc:0.9147  auc:0.9845 ap:0.9657 f1: 0.9147 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.088448181947072,0.27365650420978405,36.4921875,0.346958744119757,2923.265625,3654.2160870161656,2882.187052345445,0.013353069122916414,0.022552318367784208,0.044015,48.901,7.549691200256348,36.2392578125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,80912750,MSDS,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9147  rc:0.9147  auc:0.9895 ap:0.9614 f1: 0.9147 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.246451714038849,0.5203079980643865,36.4921875,1.119035699733773,3018.35546875,1921.9385512429753,893.6265395625069,0.02491624925730831,0.07273732048269524,0.044015,48.901,16.675853729248047,36.2392578125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,a82ce93b,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9549  rc:0.9845  auc:0.9962 ap:0.9786 f1: 0.9695 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.903162837028503,0.19784316058936977,36.4921875,0.283381715194237,2927.4921875,5054.508819112196,3528.8091869815057,0.009769297426742493,0.018419811487625407,0.044015,48.901,8.471941947937012,36.2392578125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,d535514e,SN,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9586  rc:0.9593  auc:0.9942 ap:0.9911 f1: 0.9589 pred_right: 17873 pred_wrong:1327 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.4477628101320827,0.11757929638178662,29.28955078125,0.18698405596165876,1665.64453125,8504.898657948619,5348.049569558224,0.005791956139766809,0.01215396363750782,0.004613,33.8448,7.599163055419922,29.01220703125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,a5acfef4,SN,FITS_Legendre,hermite,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.3950  rc:0.6026  auc:0.7850 ap:0.6284 f1: 0.4772 pred_right: 17177 pred_wrong:2023 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.483450608253479,0.12097851577006276,29.28955078125,0.190950615804109,1666.53515625,8265.930472321592,5236.956140669757,0.005940166102825851,0.012411790027267085,0.004613,33.8448,7.397651672363281,29.01220703125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,749259a0,SN,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9645  rc:0.9434  auc:0.9948 ap:0.9916 f1: 0.9539 pred_right: 17903 pred_wrong:1297 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.474421378771464,0.12896254341728405,29.28955078125,0.19634343723562311,1666.34375,7754.189499537865,5093.116500756499,0.00632193732213039,0.012762323420315504,0.004613,33.8448,8.188629150390625,29.01220703125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,eaeb1bd1,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9727  rc:0.9668  auc:0.9952 ap:0.9934 f1: 0.9697 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.6832662916183472,0.14585824786235516,29.28955078125,0.20081545013228272,1680.83203125,6855.971565925357,4979.696529033359,0.007155951498375007,0.013053004258598377,0.004613,33.8448,9.612107276916504,29.01220703125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,b5b970ec,TT,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9188  rc:0.9342  auc:0.9992 ap:0.9897 f1: 0.9264 pred_right: 454744 pred_wrong:15056 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,19.833881664276124,0.21191162389674226,87.087890625,0.4442003372752981,5407.859375,4718.948312562919,2251.2364716648985,0.011441744309056806,0.028873021922894378,0.014842,246.1536,7.493400573730469,80.15234375,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,946ea96f,TT,FITS_Legendre,hermite,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.6808  rc:0.7782  auc:0.9077 ap:0.7971 f1: 0.7262 pred_right: 452872 pred_wrong:16928 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,19.99011640548706,0.19824151478185992,87.220703125,0.39583017576986285,5540.15234375,5044.352092952757,2526.335942061688,0.010744194497389855,0.025728961425041084,0.014842,246.1536,9.938430786132812,80.23486328125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,a0e835c1,TT,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9534  rc:0.9446  auc:0.9994 ap:0.9939 f1: 0.9489 pred_right: 455129 pred_wrong:14671 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,19.957499117851256,0.289384619869403,87.220703125,0.3683692689056922,5524.21484375,3455.608665212727,2714.6672765909098,0.015938870785476913,0.023944002478869995,0.014842,246.1536,9.660887718200684,80.23486328125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,091dcbb9,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9444  rc:0.9625  auc:0.9995 ap:0.9937 f1: 0.9534 pred_right: 454708 pred_wrong:15092 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,21.897552137374877,0.23073318428889208,87.220703125,0.42648389336709724,5475.55859375,4334.01031187581,2344.7544339951123,0.012448286025570018,0.02772145306886132,0.014842,246.1536,12.174844741821289,80.23486328125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,93f2acc4,SN,FITS_Legendre,fourier,false,FreDF-style,1.0,0.5,LPF,linear_attn,pr:0.9464  rc:0.9057  auc:0.9916 ap:0.9823 f1: 0.9256 pred_right: 17931 pred_wrong:1269 actu_right: 17874 actu_wrong: 1326,4768,2334,2434,1.6180300450325011,0.08806034842914438,29.21435546875,0.16179909255627856,1685.98828125,11355.848776871757,6180.504378614918,0.004612248809324866,0.010516941016158106,0.004768,30.1728,7.593035697937012,28.93701171875,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,52322703,TT,FITS_Legendre,fourier,false,FreDF-style,1.0,0.2,LPF,linear_attn,pr:0.9359  rc:0.7993  auc:0.9969 ap:0.9694 f1: 0.8622 pred_right: 457154 pred_wrong:12646 actu_right: 454992 actu_wrong: 14808,14997,5779,9218,58.60077523708343,0.6044953268513203,86.5078125,0.7983639511257308,5326.6640625,1654.2725072975736,1252.5615649228062,0.0403473428383548,0.0518936568231725,0.014997,177.7896,50.48723220825195,79.24267578125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,6914d032,MSDS,FITS_Legendre,fourier,false,FreDF-style,1.0,0.0,LPF,linear_attn,pr:0.9412  rc:0.9922  auc:0.9999 ap:0.9875 f1: 0.9660 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44170,9736,34434,10.967259164651235,0.5476205555607442,35.83642578125,0.35416830533717963,2946.92578125,1826.081928162896,2823.516347822168,0.03465397637643945,0.023020939846916676,0.04417,32.286,20.42689323425293,35.58349609375,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,4cbc971e,SN,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9545  rc:0.9495  auc:0.9935 ap:0.9876 f1: 0.9520 pred_right: 17881 pred_wrong:1319 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.521150566736857,0.10569407779831866,29.28955078125,0.14452727437373505,1667.8046875,9461.268037251446,6919.109243104428,0.005239783906851647,0.009394272834292778,0.004613,33.8448,8.177685737609863,29.01220703125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,5d28ce58,SN,FITS_Legendre,fourier,false,FreDF-style,1.0,0.5,LPF,linear_attn,pr:0.9519  rc:0.9103  auc:0.9923 ap:0.9834 f1: 0.9306 pred_right: 17932 pred_wrong:1268 actu_right: 17874 actu_wrong: 1326,4768,2334,2434,1.6121713304519654,0.10486721100016712,29.21435546875,0.17236799125648722,1685.48046875,9535.869128801436,5801.541183548278,0.0053296138310559935,0.011203919431671669,0.004768,30.1728,7.764124870300293,28.93701171875,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,12f1e683,SN,FITS_Legendre,hermite,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.3125  rc:0.4781  auc:0.7187 ap:0.5817 f1: 0.3779 pred_right: 17171 pred_wrong:2029 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.506737961769104,0.08859272875816994,29.28955078125,0.1275941720691665,1683.59375,11287.608069164264,7837.348554273451,0.004457941814746733,0.008293621184495822,0.004613,33.8448,6.355524063110352,29.01220703125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,4d169847,SN,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9681  rc:0.9615  auc:0.9971 ap:0.9940 f1: 0.9648 pred_right: 17883 pred_wrong:1317 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.5443410245577494,0.10305467901382855,29.28955078125,0.1621386584113626,1666.9921875,9703.586577236474,6167.560591644321,0.005121302273592208,0.010539012796738568,0.004613,33.8448,8.825969696044922,29.01220703125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,98eb901a,TT,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9259  rc:0.9726  auc:0.9991 ap:0.9936 f1: 0.9487 pred_right: 454246 pred_wrong:15554 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,20.58029604434967,0.28649193186710675,87.087890625,0.9010052297747642,5885.99609375,3490.4996922002806,1109.871471278788,0.01477052128530649,0.05856533993535967,0.014842,246.1536,9.967041015625,80.15234375,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,c67017ad,TT,FITS_Legendre,fourier,false,FreDF-style,1.0,0.2,LPF,linear_attn,pr:0.9194  rc:0.7616  auc:0.9958 ap:0.9590 f1: 0.8331 pred_right: 457533 pred_wrong:12267 actu_right: 454992 actu_wrong: 14808,14997,5779,9218,59.58325227737427,0.567861339336969,86.5078125,0.44012566521575613,5462.78125,1760.9932755196771,2272.078360869469,0.03922729346005848,0.028608168239024147,0.014997,177.7896,50.299787521362305,79.24267578125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,1a7a90bd,TT,FITS_Legendre,hermite,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.6593  rc:0.7089  auc:0.8906 ap:0.7864 f1: 0.6832 pred_right: 453876 pred_wrong:15924 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,20.834322333335876,0.17680540730840988,87.220703125,0.416375014045619,5799.6953125,5655.935614320062,2401.681095807631,0.009670283350029825,0.027064375912965233,0.014842,246.1536,21.837425231933594,80.23486328125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,60cb3078,TT,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.8939  rc:0.9060  auc:0.9985 ap:0.9823 f1: 0.8999 pred_right: 454791 pred_wrong:15009 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,20.105644974708557,0.21894648975674513,87.220703125,0.45880860767736775,5562.7109375,4567.326021581914,2179.5580624834215,0.01193181737902846,0.029822559499028903,0.014842,246.1536,8.436846733093262,80.23486328125,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,93caab76,MSDS,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9398  rc:0.9690  auc:0.9999 ap:0.9856 f1: 0.9542 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.0536210576693215,0.23152561039534145,35.603515625,0.3118562755368102,3025.40234375,4319.1766055273565,3206.6053449739356,0.011357836106359067,0.020270657909892666,0.044015,48.901,7.287478446960449,35.3505859375,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,3a4a5b90,MSDS,FITS_Legendre,fourier,false,FreDF-style,1.0,0.0,LPF,linear_attn,pr:0.9214  rc:1.0000  auc:0.9999 ap:0.9841 f1: 0.9591 pred_right: 16360 pred_wrong:140 actu_right: 16371 actu_wrong: 129,44170,9736,34434,10.450788008371989,0.44010484767259417,35.83642578125,0.34600193459191014,2941.734375,2272.1858331902013,2890.1572506507628,0.028736425976358195,0.022490125748474157,0.04417,32.286,20.534586906433105,35.58349609375,1.0,RQ2_basis_comparison,2,True,5,10
MSTGAD,f568a6f0,MSDS,FITS_Legendre,hermite,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8403  rc:0.9380  auc:0.9977 ap:0.9626 f1: 0.8864 pred_right: 16356 pred_wrong:144 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.065726042588552,0.16033554305163816,36.4921875,0.2304204409520069,2915.2265625,6236.920279603487,4339.892745055049,0.008021667386644983,0.014977328661880448,0.044015,48.901,5.919337272644043,36.2392578125,1.0,RQ2_basis_comparison,2,True,5,10
