model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,7ac9d940,Eadro,true,Legendre-style,1.0,0.1,pr:0.9389  rc:0.9163  auc:0.9875 ap:0.9765 f1: 0.9275 pred_right: 17906 pred_wrong:1294 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.1851218132905557,0.09748990834644701,58.4189453125,0.25179594383307746,2041.16796875,1.0,1
MSTGAD,3306887d,AnoFusion,true,Legendre-style,1.0,0.1,pr:0.9637  rc:0.9419  auc:0.9944 ap:0.9861 f1: 0.9527 pred_right: 17904 pred_wrong:1296 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,1.4191376821200052,0.12330590269074013,51.02685546875,0.2992573906393612,1861.6328125,1.0,1
MSTGAD,9cbeaa34,encoder_decoder,true,Legendre-style,1.0,0.1,pr:0.9805  rc:0.9849  auc:0.9964 ap:0.9958 f1: 0.9827 pred_right: 17868 pred_wrong:1332 actu_right: 17874 actu_wrong: 1326,95018,91928,3090,4.819127367638253,0.29528801340612004,219.04150390625,2.0414632626112486,1908.6640625,1.0,1
MSTGAD,e6e26919,Art,true,Legendre-style,1.0,0.1,pr:0.9848  rc:0.9759  auc:0.9977 ap:0.9965 f1: 0.9803 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,20242,17152,3090,1.2264644536446399,0.08261761180857286,63.6357421875,0.3566281539091948,1891.07421875,1.0,1
MSTGAD,b0946cb4,FITS_Legendre,true,Legendre-style,1.0,0.1,pr:0.9372  rc:0.8891  auc:0.9888 ap:0.9773 f1: 0.9125 pred_right: 17942 pred_wrong:1258 actu_right: 17874 actu_wrong: 1326,3480,390,3090,1.819375560283661,0.19434826783459597,41.56640625,0.339243713759696,1808.3828125,1.0,1
MSTGAD,471bfb24,iTransformer,true,Legendre-style,1.0,0.1,pr:0.8698  rc:0.8665  auc:0.9787 ap:0.9532 f1: 0.8682 pred_right: 17879 pred_wrong:1321 actu_right: 17874 actu_wrong: 1326,609456,606366,3090,4.390944915612539,0.31050745419498293,281.966796875,3.872047912769918,1995.421875,1.0,1
MSTGAD,c063bb3b,FreTS,true,Legendre-style,1.0,0.1,pr:0.9628  rc:0.9570  auc:0.9949 ap:0.9893 f1: 0.9599 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,20016,16926,3090,2.312164535522461,0.20352774862016304,404.88671875,1.5552630399000198,1857.22265625,1.0,1
MSTGAD,ea2d57b0,DLinear,true,Legendre-style,1.0,0.1,pr:0.9439  rc:0.9389  auc:0.9933 ap:0.9832 f1: 0.9414 pred_right: 17881 pred_wrong:1319 actu_right: 17874 actu_wrong: 1326,3750,660,3090,1.4280725320180256,0.13696775929388091,41.560546875,0.21701148062041312,1805.9140625,1.0,1
MSTGAD,46ffe2e2,Eadro,true,Legendre-style,1.0,0.1,pr:0.9369  rc:0.9291  auc:0.9898 ap:0.9818 f1: 0.9330 pred_right: 17885 pred_wrong:1315 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.098043513388688,0.0790591316427139,58.4189453125,0.22571850446314592,2045.640625,1.0,2
MSTGAD,743a41ed,AnoFusion,true,Legendre-style,1.0,0.1,pr:0.9557  rc:0.9118  auc:0.9943 ap:0.9845 f1: 0.9332 pred_right: 17935 pred_wrong:1265 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,1.4074397134780883,0.09093521127230485,51.02685546875,0.1957043961124341,1857.7578125,1.0,2
MSTGAD,3b2111c1,encoder_decoder,true,Legendre-style,1.0,0.1,pr:0.9856  rc:0.9781  auc:0.9970 ap:0.9957 f1: 0.9818 pred_right: 17884 pred_wrong:1316 actu_right: 17874 actu_wrong: 1326,95018,91928,3090,4.756726387461184,0.284063564760658,219.04150390625,1.8974044672874772,1903.4765625,1.0,2
MSTGAD,7443c1cd,Art,true,Legendre-style,1.0,0.1,pr:0.9791  rc:0.9872  auc:0.9973 ap:0.9951 f1: 0.9831 pred_right: 17863 pred_wrong:1337 actu_right: 17874 actu_wrong: 1326,20242,17152,3090,1.2267004076639811,0.0849981823636178,63.6357421875,0.3842168525790998,1889.484375,1.0,2
