model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,60a5587e,iTransformer,false,Legendre-style,1.0,0.1,pr:0.8789  rc:0.8756  auc:0.9864 ap:0.9673 f1: 0.8772 pred_right: 17879 pred_wrong:1321 actu_right: 17874 actu_wrong: 1326,206250,203160,3090,3.7720642244979126,0.3192215192480875,143.6328125,2.17545762064906,2228.69921875,1.0,1
MSTGAD,d981744e,FreTS,false,Legendre-style,1.0,0.1,pr:0.9600  rc:0.9404  auc:0.9907 ap:0.9865 f1: 0.9501 pred_right: 17901 pred_wrong:1299 actu_right: 17874 actu_wrong: 1326,5698,2608,3090,1.912792049108013,0.1794628521833686,107.93603515625,0.60022451023367,2057.734375,1.0,1
MSTGAD,facdab77,DLinear,false,Legendre-style,1.0,0.1,pr:0.9382  rc:0.9495  auc:0.9913 ap:0.9818 f1: 0.9438 pred_right: 17858 pred_wrong:1342 actu_right: 17874 actu_wrong: 1326,4348,1258,3090,1.6180138659477235,0.16931533133494875,42.22509765625,0.25859675234580987,2015.609375,1.0,1
MSTGAD,e7b3f1bb,encoder_decoder,false,Legendre-style,1.0,0.1,pr:0.9886  rc:0.9789  auc:0.9967 ap:0.9970 f1: 0.9837 pred_right: 17887 pred_wrong:1313 actu_right: 17874 actu_wrong: 1326,95018,91928,3090,5.055224375953841,0.32154328498681667,220.33642578125,2.2962948996894643,2077.765625,1.0,1
MSTGAD,490a04e0,TimesNet,false,Legendre-style,1.0,0.1,pr:0.9622  rc:0.9419  auc:0.9937 ap:0.9905 f1: 0.9520 pred_right: 17902 pred_wrong:1298 actu_right: 17874 actu_wrong: 1326,24240,21150,3090,5.022299981025195,0.5080074280836862,167.56640625,2.650802219048612,2387.4375,1.0,1
MSTGAD,165d346c,FEDformerModel,false,Legendre-style,1.0,0.1,pr:0.9628  rc:0.9555  auc:0.9967 ap:0.9933 f1: 0.9591 pred_right: 17884 pred_wrong:1316 actu_right: 17874 actu_wrong: 1326,21428,18338,3090,5.085583363374075,0.4572619360540144,69.255859375,1.119543241023734,2181.03515625,1.0,1
MSTGAD,2c31c1ac,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9371  rc:0.9434  auc:0.9911 ap:0.9831 f1: 0.9402 pred_right: 17865 pred_wrong:1335 actu_right: 17874 actu_wrong: 1326,4234,1144,3090,1.983128961722056,0.25067252908798465,41.99951171875,0.3570330263388277,2003.40234375,1.0,1
MSTGAD,fa7642c6,iTransformer,false,Legendre-style,1.0,0.1,pr:0.8514  rc:0.8213  auc:0.9732 ap:0.9453 f1: 0.8361 pred_right: 17921 pred_wrong:1279 actu_right: 17874 actu_wrong: 1326,206250,203160,3090,3.750373562680015,0.31659367108585856,143.6328125,2.1627092389782767,2208.90234375,1.0,2
MSTGAD,dcf33835,FreTS,false,Legendre-style,1.0,0.1,pr:0.9452  rc:0.9367  auc:0.9891 ap:0.9819 f1: 0.9409 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,5698,2608,3090,2.026836722075534,0.2426831250522226,107.93603515625,0.6433737398398043,2066.734375,1.0,2
MSTGAD,f0d4115f,DLinear,false,Legendre-style,1.0,0.1,pr:0.9605  rc:0.9532  auc:0.9928 ap:0.9885 f1: 0.9569 pred_right: 17884 pred_wrong:1316 actu_right: 17874 actu_wrong: 1326,4348,1258,3090,1.660986602306366,0.18348401002209597,42.22509765625,0.25747549087606014,1997.48828125,1.0,2
