model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,073ec3cb,iTransformer,false,Legendre-style,1.0,0.1,pr:0.9185  rc:0.8811  auc:0.9980 ap:0.9823 f1: 0.8994 pred_right: 455594 pred_wrong:14206 actu_right: 454992 actu_wrong: 14808,216479,203160,13319,63.677275772094724,0.5375020181544202,281.69384765625,4.768260379335773,6486.59375,1.0,1
MSTGAD,07cf42ca,FreTS,false,Legendre-style,1.0,0.1,pr:0.8927  rc:0.9555  auc:0.9989 ap:0.9864 f1: 0.9230 pred_right: 453950 pred_wrong:15850 actu_right: 454992 actu_wrong: 14808,15927,2608,13319,24.87023100376129,0.2898369106989093,216.939453125,1.2962698252138123,6324.9453125,1.0,1
MSTGAD,584b9988,DLinear,false,Legendre-style,1.0,0.1,pr:0.8669  rc:0.8680  auc:0.9973 ap:0.9713 f1: 0.8675 pred_right: 454973 pred_wrong:14827 actu_right: 454992 actu_wrong: 14808,14577,1258,13319,19.85045482635498,0.24324150917587542,140.19873046875,0.640876271283996,6144.04296875,1.0,1
MSTGAD,6a1251f3,encoder_decoder,false,Legendre-style,1.0,0.1,pr:0.9338  rc:0.9731  auc:0.9984 ap:0.9943 f1: 0.9530 pred_right: 454369 pred_wrong:15431 actu_right: 454992 actu_wrong: 14808,105247,91928,13319,79.578800239563,0.5599153047861654,706.173828125,8.175140448196885,6122.86328125,1.0,1
MSTGAD,142d2040,TimesNet,false,Legendre-style,1.0,0.1,pr:0.8927  rc:0.9216  auc:0.9984 ap:0.9825 f1: 0.9069 pred_right: 454513 pred_wrong:15287 actu_right: 454992 actu_wrong: 14808,34469,21150,13319,88.51536914348603,1.0083429382534443,328.7666015625,5.864382898766467,6159.72265625,1.0,1
MSTGAD,f952d328,FEDformerModel,false,Legendre-style,1.0,0.1,pr:0.8796  rc:0.9577  auc:0.9989 ap:0.9823 f1: 0.9170 pred_right: 453676 pred_wrong:16124 actu_right: 454992 actu_wrong: 14808,31657,18338,13319,57.984029774665835,0.5320526088009472,142.57568359375,2.0877307509719025,6052.5078125,1.0,1
MSTGAD,e5d61a95,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.8798  rc:0.9289  auc:0.9982 ap:0.9812 f1: 0.9037 pred_right: 454166 pred_wrong:15634 actu_right: 454992 actu_wrong: 14808,14463,1144,13319,25.23180208683014,0.3500117725674512,139.88671875,0.8994069767326767,5827.234375,1.0,1
MSTGAD,99f96e06,iTransformer,false,Legendre-style,1.0,0.1,pr:0.8787  rc:0.8694  auc:0.9971 ap:0.9724 f1: 0.8740 pred_right: 455148 pred_wrong:14652 actu_right: 454992 actu_wrong: 14808,216479,203160,13319,62.920075421333316,0.5174517661093571,281.69384765625,4.814060533635241,6333.08984375,1.0,2
MSTGAD,c365a535,FreTS,false,Legendre-style,1.0,0.1,pr:0.8992  rc:0.9406  auc:0.9987 ap:0.9855 f1: 0.9194 pred_right: 454311 pred_wrong:15489 actu_right: 454992 actu_wrong: 14808,15927,2608,13319,24.14271656513214,0.28815511534873706,216.939453125,1.273213872679613,6222.8984375,1.0,2
MSTGAD,0209fa5f,DLinear,false,Legendre-style,1.0,0.1,pr:0.8515  rc:0.8890  auc:0.9966 ap:0.9670 f1: 0.8699 pred_right: 454339 pred_wrong:15461 actu_right: 454992 actu_wrong: 14808,14577,1258,13319,17.763262429237365,0.21693228755561136,140.19873046875,0.544496628228066,5927.48046875,1.0,2
